# started on Sun Nov 20 15:00:58 2022

3581.28,msec,task-clock,3581277044,100.00,0.990,CPUs utilized
334,,context-switches,3581277044,100.00,93.263,/sec
1,,cpu-migrations,3581277044,100.00,0.279,/sec
49275,,page-faults,3581277044,100.00,13.759,K/sec
5677660417,,cycles,591214042,16.53,1.585,GHz
0,,stalled-cycles-frontend,595987173,16.66,,
0,,stalled-cycles-backend,598135514,16.72,0.00,backend cycles idle
3991261760,,instructions,597510116,16.71,0.70,insn per cycle
378559230,,branches,595727337,16.66,105.705,M/sec
19518655,,branch-misses,598254633,16.73,5.16,of all branches
1332085683,,L1-dcache-loads,600368657,16.79,371.958,M/sec
21134601,,L1-dcache-load-misses,600640233,16.79,1.59,of all L1-dcache accesses
61134366,,LLC-loads,596285808,16.67,17.071,M/sec
20201834,,LLC-load-misses,594065622,16.61,33.04,of all LL-cache accesses
757686531,,L1-icache-loads,592444681,16.56,211.569,M/sec
4049034,,L1-icache-load-misses,593799204,16.60,0.53,of all L1-icache accesses
1356063902,,dTLB-loads,594568947,16.62,378.654,M/sec
48794782,,dTLB-load-misses,598019122,16.72,3.60,of all dTLB cache accesses
760985169,,iTLB-loads,597090059,16.69,212.490,M/sec
173,,iTLB-load-misses,598906321,16.74,0.00,of all iTLB cache accesses
0,,L1-dcache-prefetches,593815159,16.60,0.000,/sec
0,,L1-dcache-prefetch-misses,593068487,16.58,0.000,/sec
